time,underlyingApy,impliedApy,volume
Fri May 10 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.6695,19962.4736
Fri May 10 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.6789,36365.738
Fri May 10 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.6817,45539.0182
Fri May 10 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.6269,425406.0752
Fri May 10 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.6615,97726.2211
Fri May 10 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.6673,24664.6747
Fri May 10 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.68,33704.5444
Fri May 10 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.6876,79896.8879
Fri May 10 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.6712,53774.1034
Fri May 10 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.674,154310.4042
Fri May 10 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.6551,43273.9135
Fri May 10 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.6615,14467.4301
Fri May 10 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.6558,21314.3871
Fri May 10 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.6374,47497.8909
Sat May 11 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.6621,108043.7664
Sat May 11 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.659,64808.609
Sat May 11 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.6585,1128.2534
Sat May 11 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6629,10137.4185
Sat May 11 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.6613,16721.2032
Sat May 11 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.6662,14111.1815
Sat May 11 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.6691,7236.8015
Sat May 11 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.6076,153717.4011
Sat May 11 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.6809,168911.2778
Sat May 11 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.6652,37302.0074
Sat May 11 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.6829,45871.7562
Sat May 11 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.6837,10612.5939
Sat May 11 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.6948,32527.8105
Sat May 11 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.6802,77832.0646
Sat May 11 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.6713,122812.8351
Sat May 11 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.6845,30832.9895
Sat May 11 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.6908,14339.8029
Sat May 11 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.685,47916.9614
Sat May 11 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.6891,27253.1479
