Rank,Claimed,Balance,Change%
1,319819245.8,-3.3527612686157227e-08,-1.0000000000000002
2,18750000.0,18750000.0,0.0
3,16406250.0,-1.3969838619232178e-09,-1.0000000000000002
4,7656250.0,8871527.7765625,0.1587301585714286
5,5721897.918333333,2.6775524020195007e-09,-0.9999999999999996
6,5355531.008333333,5.529727786779404e-10,-0.9999999999999998
7,5076559.8100000005,4.3655745685100555e-10,-1.0
8,3867653.5333333327,-1.7462298274040222e-10,-1.0
9,3849275.36,0.924060069490224,-0.9999997599392138
10,3777049.626812248,8.731149137020111e-11,-1.0
11,3278726.214166668,3.4924596548080444e-10,-1.0
12,3012743.5275000003,4.074536263942719e-10,-1.0
13,3009890.0475,2.3283064365386963e-10,-1.0
14,2888443.658333333,1172465.4681127786,-0.5940840096603077
15,2734375.0,1.7773437504365577,-0.9999993499999998
16,2734375.0,1.7773437504365577,-0.9999993499999998
17,2728385.648333333,5.820766091346741e-11,-1.0
18,2664017.4575,2.3283064365386963e-10,-0.9999999999999998
19,2520394.455833333,58961.41476183589,-0.9766062750116864
20,2242135.991666667,-1.4551915228366852e-11,-1.0
21,2220579.6725,-2.3283064365386963e-10,-1.0000000000000002
22,2187500.0,2534722.2225,0.1587301588571429
23,2072468.9475,-2.3283064365386963e-10,-1.0000000000000002
24,2054159.969166667,-2.9103830456733704e-11,-1.0
25,2045290.0125,5.820766091346741e-11,-1.0
26,2039076.375,-4.2564352042973036e-10,-1.0000000000000002
27,1855654.765,-2.3283064365386963e-10,-1.0000000000000002
28,1833720.7991666668,-5.820766091346741e-11,-1.0
29,1824682.311666667,258371.5349422637,-0.8584019073949005
30,1776421.6866666672,3.7711571967374766,-0.9999978771047296
31,1769440.499166667,167033.4932447382,-0.905600955034428
32,1623248.4625,5.820766091346741e-11,-1.0
33,1610876.143333333,-8.731149137020111e-11,-1.0
34,1524740.7116666671,-1.4551915228366852e-11,-1.0
35,1442093.415,-1.7462298274040222e-10,-1.0000000000000002
36,1365458.021666667,0.199305533329607,-0.9999998540375974
37,1321225.115,9.458744898438454e-11,-1.0
38,1317043.56,-2.9103830456733704e-11,-1.0
39,1256983.956666667,-7.275957614183426e-11,-1.0
40,1242306.053333333,201904.00292325788,-0.8374764395766142
41,1217551.7783333329,9.742507245391609e-09,-0.999999999999992
42,1172728.4858333329,493779.1791380756,-0.5789484223305112
43,1171672.483333333,-6.984919309616089e-10,-1.0000000000000009
44,1153228.23,1.3096723705530167e-10,-0.9999999999999998
45,1152848.730833333,1.3096723705530167e-10,-0.9999999999999998
46,1148023.5725,411807.0134834113,-0.6412904548757328
47,1109332.169166667,-1.6007106751203534e-10,-1.0000000000000002
48,1077537.725833333,5.4569682106375694e-11,-1.0
49,1072077.92,0.0,-1.0
50,1067679.30382999,1.4551915228366852e-11,-1.0
51,1049434.4641666668,50000.22222517146,-0.9523550789187436
52,985589.319166667,50864.46377013593,-0.948391827325054
53,926547.766666667,-8.731149137020111e-11,-1.0000000000000002
54,915023.0133333332,1.4551915228366852e-11,-1.0
55,914179.84,280499.91823462886,-0.6931676832485949
56,905182.255833333,85448.3404128032,-0.9056009550981118
57,899983.6649999999,4.365574568510056e-11,-1.0
58,882267.691666667,1.0186340659856795e-10,-1.0
59,880508.4600000001,0.0,-1.0
60,858484.625833333,0.0,-1.0
61,851031.5796313542,2.9103830456733704e-11,-1.0
62,839613.1741666669,-7.275957614183426e-12,-1.0
63,831996.4099999999,3.2014213502407074e-10,-0.9999999999999996
64,831124.245,7.275957614183426e-11,-1.0
65,806793.2366666669,-1.1641532182693479e-10,-1.0000000000000002
66,806694.3500000001,2.9103830456733704e-11,-1.0
67,792741.6291666669,1.2369127944111824e-10,-1.0
68,778691.841666667,-7.275957614183426e-12,-1.0
69,774319.4899999999,-2.9103830456733704e-11,-1.0
70,762687.665833333,1.4551915228366852e-11,-1.0
71,760829.393333333,-3.637978807091713e-11,-1.0
72,754537.9858333331,-1.4551915228366852e-11,-1.0
73,742074.2525000001,-3.169589035678655e-10,-1.0000000000000004
74,698315.8175,1.8189894035458562e-10,-0.9999999999999996
75,697358.8125,-1.4551915228366852e-11,-1.0
76,687234.1525,-2.9103830456733704e-10,-1.0000000000000004
77,674872.835,47561.02660978212,-0.92952594304706
78,639762.9758333333,8.36735125631094e-11,-0.9999999999999998
79,639218.5508333333,1.316049793480488,-0.9999979411583224
80,614546.2108333333,1.8189894035458565e-11,-1.0
81,603973.0375,1.1641532182693479e-10,-0.9999999999999998
82,592437.4866666667,5.748006515204905e-10,-0.999999999999999
83,568356.6408333334,1.4551915228366852e-11,-1.0
84,566731.4858333333,1.1641532182693479e-10,-0.9999999999999998
85,558282.3633333333,105402.64388432224,-0.8112019099887102
86,554346.1116666667,6.548361852765083e-11,-0.9999999999999998
87,553256.8475,-5.0931703299283975e-11,-1.0
88,552536.7050000001,52158.937136729946,-0.9056009552582938
89,548304.0675,1.0186340659856795e-10,-0.9999999999999998
90,521045.3675,0.8938262207302614,-0.9999982845520248
91,514468.7216666667,-6.548361852765083e-11,-1.0000000000000002
92,511802.4858333333,-2.9103830456733704e-11,-1.0
93,511472.815,4.0017766878008836e-11,-1.0
94,509422.0345317217,3.637978807091713e-12,-1.0
95,493302.1391666667,5.820766091346741e-11,-1.0
96,487514.53709128,1.091393642127514e-11,-1.0
97,474840.7183333333,-1.6370904631912708e-11,-1.0
98,458185.5016666667,4.729372449219227e-10,-0.999999999999999
99,456261.8841666667,-9.094947017729282e-12,-1.0
100,451919.1075,-5.820766091346741e-11,-1.0000000000000002
101,451386.4658333333,21110.45188446577,-0.9532319786205986
102,449909.1975,-5.820766091346741e-11,-1.0000000000000002
103,449374.81166666665,-8.731149137020111e-11,-1.0000000000000002
104,448148.8899905162,7.275957614183426e-12,-1.0
105,441744.6191666667,5.820766091346741e-11,-1.0
106,438502.7908019456,-1.4642864698544142e-10,-1.0000000000000004
107,430835.9639631536,-4.365574568510056e-11,-1.0000000000000002
108,426819.3883333333,2.9103830456733704e-11,-1.0
109,422305.7591666667,7.275957614183426e-12,-1.0
110,421997.5725,7245.483904823404,-0.9828305080953436
111,410617.22333333327,7.275957614183426e-12,-1.0
112,405508.495,2.9103830456733704e-11,-1.0
113,403559.38,5.820766091346741e-11,-1.0
114,402151.855,-4.0017766878008836e-11,-1.0000000000000002
115,398611.52916666673,2.9103830456733704e-11,-1.0
116,397700.77666666673,2.182787284255028e-11,-1.0
117,392233.2341666668,1.0600587074804936e-10,-0.9999999999999996
118,391363.1166666667,-8.731149137020111e-11,-1.0000000000000002
119,386175.1627242758,1.4551915228366852e-11,-1.0
120,385430.1441666667,18192.11875344261,-0.9528004775216128
121,384453.4225,-1.0368239600211382e-10,-1.0000000000000002
122,381628.9458333333,-1.8189894035458562e-10,-1.0000000000000004
123,380995.7783333334,453167.03331666667,0.1894279650526485
124,377488.4983333333,-1.4551915228366852e-11,-1.0
125,375191.6525,-1.3460521586239338e-10,-1.0000000000000002
126,373512.9475,40148.16368962959,-0.8925119893209871
127,368543.49933013046,-4.547473508864641e-13,-1.0
128,367969.95666666667,-3.637978807091713e-11,-1.0000000000000002
129,362777.3508333333,2.5465851649641987e-11,-1.0
130,361400.8183333333,-2.9103830456733704e-11,-1.0
131,360834.985,0.0,-1.0
132,358967.2508333333,-1.4551915228366852e-11,-1.0
133,358676.2083333333,33858.691549309144,-0.9056009549486406
134,343380.1466666667,8006.37896296594,-0.9766836287983242
135,343095.8158805458,1.091393642127514e-11,-1.0
136,343009.4908333333,-4.18367562815547e-11,-1.0000000000000002
137,342151.6525,3.637978807091713e-12,-1.0
138,340578.69999999995,32150.304047942373,-0.905600954939512
139,337682.47333333327,-2.9103830456733704e-11,-1.0
140,335059.532491046,6.184563972055912e-11,-0.9999999999999998
141,332726.415,114999.9999999999,-0.6543706937124307
142,332512.08666666667,-2.182787284255028e-11,-1.0
143,331446.40194258,-1.4551915228366852e-11,-1.0
144,331147.185,-5.0931703299283975e-11,-1.0000000000000002
145,331026.6516666668,1.4188117347657678e-10,-0.9999999999999996
146,330813.28,5.4569682106375694e-12,-1.0
147,330267.42,0.0,-1.0
148,328902.6883333333,110219.7784941214,-0.6648863557405257
149,328485.2083242303,1.091393642127514e-11,-1.0
150,327565.5133333333,2.9103830456733704e-11,-1.0
151,324879.2691666667,0.0,-1.0
152,324511.94999999995,-1.091393642127514e-11,-1.0
153,321386.46166666667,45507.86240449215,-0.8584014330644342
154,319323.5091666667,-4.656612873077393e-10,-1.0000000000000016
155,318731.26249999995,-5.4569682106375694e-12,-1.0
156,318460.5608333333,-1.8189894035458565e-11,-1.0
157,317940.32083333324,60026.52507330681,-0.8112019107360303
158,317858.24,-5.0931703299283975e-11,-1.0000000000000002
159,316967.2683333333,1.2732925824820995e-10,-0.9999999999999996
160,315850.215,59830.8633,-0.8105720355453929
161,313092.8616666667,1.8189894035458565e-12,-1.0
162,309667.93666666665,81850.60081227479,-0.7356826745018146
163,308286.9883333333,-4.365574568510056e-11,-1.0000000000000002
164,307988.555,7.275957614183426e-12,-1.0
165,304037.28250000003,9.049472282640636e-11,-0.9999999999999996
166,302681.7675,2.9103830456733704e-11,-1.0
167,300417.35,0.0,-1.0
168,299554.04500000004,50899.70830000002,-0.8300817193104503
169,299037.106649543,-2.5465851649641987e-11,-1.0
170,297420.9875,9296.000000000186,-0.968744640120596
171,289292.0333333333,2.9103830456733704e-11,-1.0
172,288884.3066666667,2.9103830456733704e-11,-0.9999999999999998
173,288874.1858333333,7.275957614183426e-12,-1.0
174,283984.84333333327,-2.5465851649641987e-11,-1.0
175,283756.22916666674,0.0,-1.0
176,279750.555,126408.6456652059,-0.5481379986352274
177,279643.9391666667,-5.4569682106375694e-11,-1.0000000000000002
178,275552.4625,-7.275957614183426e-11,-1.0000000000000002
179,273851.7075,0.1365220379775564,-0.9999995014745784
180,273294.2158333333,0.0,-1.0
181,272838.5625,7.581365935038775e-08,-0.9999999999997222
182,271673.1484802633,0.0,-1.0
183,271039.0841666667,-1.8189894035458565e-11,-1.0
184,269692.27299101185,-4.932942943014496e-12,-1.0
185,269187.905,6305.547801595327,-0.9765756644913326
