time,underlyingApy,impliedApy,volume
Sat Apr 13 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,2.1512,0
Sun Apr 14 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,2.1512,0
Mon Apr 15 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,1.0682,2592926.6796
Tue Apr 16 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.982,2635772.8799
Wed Apr 17 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.715,2420822.3013
Thu Apr 18 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.9025,1453410.1213
Fri Apr 19 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8306,962636.0622
Sat Apr 20 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8929,729110.1022
Sun Apr 21 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8838,928356.1405
Mon Apr 22 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8498,1571465.2695
Tue Apr 23 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7773,1966185.7828
Wed Apr 24 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7485,1552900.0021
Thu Apr 25 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7708,1478320.9162
Fri Apr 26 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8009,2118196.9616
Sat Apr 27 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7679,714378.0403
Sun Apr 28 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.784,950751.0088
Mon Apr 29 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7808,1132137.5081
Tue Apr 30 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7381,1740250.5158
Wed May 01 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6667,893345.8891
Thu May 02 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6665,802187.2498
Fri May 03 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7967,3298270.3775
Sat May 04 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8564,2672112.503
Sun May 05 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8042,878918.3578
Mon May 06 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8054,1679051.8081
Tue May 07 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7705,2871002.347
Wed May 08 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6672,2144168.4782
Thu May 09 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6883,812495.4046
Fri May 10 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6585,1458504.8504
Sat May 11 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6735,1014532.0579
Sun May 12 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6864,651187.5992
Mon May 13 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.703,1109092.0762
Tue May 14 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6846,848680.139
Wed May 15 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6785,597417.5237
Thu May 16 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6583,868244.0744
Fri May 17 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6864,548852.5523
Sat May 18 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7714,890425.1433
Sun May 19 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7873,555529.8161
Mon May 20 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7843,1591104.5489
Tue May 21 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7782,1556838.2121
Wed May 22 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7949,1003976.5393
Thu May 23 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8723,675269.3543
Fri May 24 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8214,1688630.1916
Sat May 25 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8137,1420624.0532
Sun May 26 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8457,874708.6238
Mon May 27 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8982,2828535.9744
Tue May 28 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8481,1943333.3973
Wed May 29 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8854,2424127.6796
Thu May 30 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8584,515317.4442
Fri May 31 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8223,1200961.29
Sat Jun 01 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8128,645445.5925
Sun Jun 02 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8055,502208.6537
Mon Jun 03 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8136,2112478.2749
Tue Jun 04 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7521,4183661.8633
Wed Jun 05 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7265,1323301.3828
Thu Jun 06 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7146,2188124.7571
Fri Jun 07 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7939,2625968.0641
Sat Jun 08 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8695,964951.257
Sun Jun 09 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8219,750138.9791
Mon Jun 10 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7598,1531027.3651
Tue Jun 11 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8308,1364562.0893
Wed Jun 12 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7671,2726652.1093
Thu Jun 13 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7612,1944289.6581
Fri Jun 14 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7684,1342410.4438
Sat Jun 15 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7531,997447.4156
Sun Jun 16 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7373,1152579.8066
Mon Jun 17 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6987,743801.9147
Tue Jun 18 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7271,1501873.2697
Wed Jun 19 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7131,838874.6382
Thu Jun 20 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7468,320294.4804
Fri Jun 21 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.758,417867.8789
Sat Jun 22 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6856,655478.2356
Sun Jun 23 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6759,678946.0698
Mon Jun 24 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.692,2501976.9798
Tue Jun 25 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6708,1531869.8803
Wed Jun 26 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6799,2005752.6
Thu Jun 27 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6724,667329.8473
Fri Jun 28 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7389,816649.2784
Sat Jun 29 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7339,259532.6168
Sun Jun 30 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7816,479511.26
Mon Jul 01 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7713,1292214.4826
Tue Jul 02 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7534,964895.4133
Wed Jul 03 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8042,610038.3468
Thu Jul 04 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7481,566346.7579
Fri Jul 05 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7748,626368.1928
Sat Jul 06 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.8165,431114.8522
Sun Jul 07 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7609,207600.6248
Mon Jul 08 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.7504,476847.2851
