time,underlyingApy,impliedApy,volume
Sat May 25 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.9404,124194.4089
Sat May 25 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.9163,39087.9252
Sat May 25 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.9329,37034.3298
Sat May 25 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.9023,48863.6047
Sat May 25 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.9054,5298.9606
Sat May 25 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.9137,72527.2293
Sat May 25 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.8277,347901.3597
Sat May 25 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.8276,8705.7818
Sat May 25 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.871,105316.0554
Sat May 25 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.862,66033.3352
Sat May 25 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.8398,36158.4672
Sat May 25 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.8277,20142.2798
Sun May 26 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.8258,3921.2657
Sun May 26 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.817,18813.7455
Sun May 26 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.8137,5339.7592
Sun May 26 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.831,82824.8364
Sun May 26 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.8096,3133.2279
Sun May 26 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.8012,11692.0684
Sun May 26 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.7936,21102.4481
Sun May 26 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.7837,58442.4422
Sun May 26 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.8021,41441.6658
Sun May 26 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.8329,49209.8891
Sun May 26 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.822,122942.4955
Sun May 26 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.8021,31782.2519
Sun May 26 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.813,33420.5196
Sun May 26 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.8128,23531.7239
Sun May 26 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.8326,37710.2159
Sun May 26 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.8326,7.521
Sun May 26 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.8436,17694.2036
Sun May 26 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.8176,57403.2774
Sun May 26 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.8017,83091.6081
Sun May 26 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.8076,12394.4449
Sun May 26 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.8348,68978.5723
Sun May 26 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.8446,48958.5881
Sun May 26 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.8446,17612.0841
Sun May 26 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.846,34744.7492
