time,underlyingApy,impliedApy,volume
Mon Jul 01 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Mon Jul 01 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.6602,0
Tue Jul 02 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.6598,40.2851
Tue Jul 02 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.6598,0
Tue Jul 02 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.6598,0
Tue Jul 02 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.6598,0
Tue Jul 02 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.7634,124309.5131
Tue Jul 02 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.6759,9345.9599
