time,underlyingApy,impliedApy,volume
Sat May 25 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4868,0
Sat May 25 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4861,15974.257
Sat May 25 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4861,432.2354
Sat May 25 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4861,0
Sat May 25 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4861,0
Sat May 25 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4863,76865.978
Sat May 25 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4809,350208.59
Sat May 25 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4807,5140.5718
Sat May 25 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.481,6140.1212
Sat May 25 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4806,7602.1676
Sat May 25 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4807,656.4261
Sun May 26 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4807,0
Sun May 26 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4807,1567.7406
Sun May 26 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.4807,0
Sun May 26 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4807,0
Sun May 26 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4831,55119.6325
Sun May 26 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.483,3132.977
Sun May 26 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.483,0
Sun May 26 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.483,961.5783
Sun May 26 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.483,0
Sun May 26 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4868,90652.7133
Sun May 26 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.487,5003.5306
Sun May 26 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4892,71585.5092
Sun May 26 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4892,0
Sun May 26 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4889,26955.2802
Sun May 26 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4887,6355.1335
Sun May 26 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4885,2884.6772
Sun May 26 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4776,1440133.6918
Sun May 26 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4822,612217.3508
Sun May 26 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4822,0
Sun May 26 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4469,802425.1149
Sun May 26 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4594,296339.3879
Sun May 26 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.455,103390.0101
Sun May 26 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4549,0
Sun May 26 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.455,2189.2488
Mon May 27 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4549,3136.2432
Mon May 27 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4538,24990.7568
Mon May 27 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.4538,5.6602
Mon May 27 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4538,0
Mon May 27 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4549,24946.7313
Mon May 27 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4549,0
Mon May 27 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4549,0
Mon May 27 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4549,0
Mon May 27 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.455,2658.3393
Mon May 27 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.455,0
Mon May 27 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4569,81015.2821
Mon May 27 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4572,6147.0388
Mon May 27 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4572,0
Mon May 27 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4572,0
Mon May 27 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4574,6053.3841
Mon May 27 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4578,7534.5979
Mon May 27 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4578,0
Mon May 27 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4787,491449.8225
Mon May 27 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4717,1008324.7768
Mon May 27 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4652,329937.243
Mon May 27 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4648,68077.3754
Mon May 27 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4691,107695.2907
Mon May 27 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.467,50910.465
Mon May 27 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.467,0
Tue May 28 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.467,0
Tue May 28 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.467,0
Tue May 28 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.4668,4465.4252
Tue May 28 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4668,0
Tue May 28 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4668,23.2023
Tue May 28 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4668,0
Tue May 28 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4668,0
Tue May 28 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4668,0
Tue May 28 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4668,0
Tue May 28 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4668,0
Tue May 28 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4668,0
Tue May 28 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4699,79197.4641
Tue May 28 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4742,99326.8113
Tue May 28 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4742,0
Tue May 28 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4738,8547.0143
Tue May 28 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4738,0
Tue May 28 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4736,5344.0381
Tue May 28 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4812,305249.6258
Tue May 28 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4789,70308.1138
Tue May 28 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4789,249.7029
Tue May 28 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4789,0
Tue May 28 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4789,0
Tue May 28 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4789,0
Tue May 28 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4789,0
Wed May 29 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4789,14243.8311
Wed May 29 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4789,15.6926
Wed May 29 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.4789,998.9506
Wed May 29 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4789,1837.8419
Wed May 29 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4789,0
Wed May 29 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4776,32757.0483
Wed May 29 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4775,998.6526
Wed May 29 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4775,1283.0828
Wed May 29 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4775,0
Wed May 29 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.475,59206.9161
Wed May 29 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4768,254309.0771
Wed May 29 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4824,213622.1046
Wed May 29 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4737,205793.7205
Wed May 29 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4737,989.6075
Wed May 29 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4737,1436.3426
Wed May 29 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4736,0
Wed May 29 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4734,4988.1919
Wed May 29 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4734,0
Wed May 29 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4733,1990.6262
Wed May 29 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4733,0
Wed May 29 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4732,2324.7643
Wed May 29 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4732,0
Wed May 29 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4732,0
Wed May 29 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4739,16132.0598
Thu May 30 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4739,145.3352
Thu May 30 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4735,22654.6746
Thu May 30 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.4677,168227.0198
Thu May 30 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4637,155292.0933
Thu May 30 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4627,77596.7362
Thu May 30 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4485,416343.4034
Thu May 30 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4643,356458.4686
Thu May 30 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.455,204562.0614
Thu May 30 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4542,139193.3898
Thu May 30 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4536,126217.3914
Thu May 30 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4396,415257.0022
Thu May 30 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4401,20814.6068
Thu May 30 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4213,548072.3546
Thu May 30 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4443,573263.5464
Thu May 30 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4334,215130.465
Thu May 30 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4324,41770.5487
Thu May 30 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4322,19339.5692
Thu May 30 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4315,12903.3668
Thu May 30 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4306,69547.0484
Thu May 30 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4318,150201.9956
Thu May 30 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4317,1099.3056
Thu May 30 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.427,91327.8572
Thu May 30 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4261,18667.569
Thu May 30 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4117,275504.3842
Fri May 31 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4084,145030.3448
Fri May 31 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4137,101609.067
Fri May 31 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.1986,0.4237,494031.9262
Fri May 31 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4237,0
Fri May 31 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4351,347516.2573
Fri May 31 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4351,0
Fri May 31 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.435,1499.0806
Fri May 31 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.435,0
Fri May 31 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.435,0
Fri May 31 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4346,15886.4065
Fri May 31 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4344,5121.68
Fri May 31 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4345,1518.2556
Fri May 31 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4345,219.5049
Fri May 31 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4343,17408.2565
Fri May 31 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4343,31515.0375
Fri May 31 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4335,16572.3715
Fri May 31 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4242,675340.6436
Fri May 31 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4243,68974.8598
Fri May 31 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4525,725065.0965
Fri May 31 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4488,183141.4737
Fri May 31 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4268,551796.4328
Fri May 31 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4264,7482.5669
Fri May 31 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4239,46027.8733
Fri May 31 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.423,18332.647
Sat Jun 01 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.421,36419.7655
Sat Jun 01 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4247,67878.1579
Sat Jun 01 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.2014,0.4231,29985.5608
Sat Jun 01 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4248,70439.4078
Sat Jun 01 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4248,0
Sat Jun 01 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4274,49295.6835
Sat Jun 01 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4277,230865.8042
Sat Jun 01 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4277,590.3041
Sat Jun 01 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4427,289859.7578
Sat Jun 01 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4432,10084.6997
Sat Jun 01 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4284,283026.3096
Sat Jun 01 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4273,20586.4517
Sat Jun 01 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.2068,0.4252,39889.4963
