time,underlyingApy,impliedApy,volume
Sat May 25 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3681,26948.4711
Sat May 25 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.367,111149.9342
Sat May 25 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3665,31741.6966
Sat May 25 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3665,5999.4931
Sat May 25 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.366,35021.8042
Sat May 25 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3656,74098.1708
Sat May 25 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3652,2033612.1157
Sat May 25 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3656,88794.4337
Sat May 25 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3659,28001.19
Sat May 25 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3707,1228546.0313
Sat May 25 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3737,279961.2551
Sun May 26 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3716,322888.165
Sun May 26 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3712,36139.7034
Sun May 26 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.2016,0.3693,146465.1522
Sun May 26 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3693,0
Sun May 26 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3682,115493.4671
Sun May 26 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.375,822428.7506
Sun May 26 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3713,992.5112
Sun May 26 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3683,328089.6512
Sun May 26 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3728,420602.6088
Sun May 26 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3696,246623.3291
Sun May 26 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3683,267611.689
Sun May 26 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.366,178035.4227
Sun May 26 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.366,86788.1913
Sun May 26 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3636,298443.987
Sun May 26 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3642,69991.2225
Sun May 26 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3633,148776.7213
Sun May 26 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3691,524520.0647
Sun May 26 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3693,345826.7773
Sun May 26 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3689,55559.9791
Sun May 26 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3734,614791.7894
Sun May 26 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3739,41718.7813
Sun May 26 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3748,926704.9225
Sun May 26 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3742,248619.6769
Sun May 26 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3741,10954.7757
Mon May 27 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3733,68804.0796
Mon May 27 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3735,22046.3395
Mon May 27 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.1997,0.3738,32883.2897
Mon May 27 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3738,0
Mon May 27 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3719,231903.7192
Mon May 27 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.371,352869.7209
Mon May 27 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.373,262513.3916
Mon May 27 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3741,687950.1706
Mon May 27 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3828,1967185.0116
Mon May 27 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.384,567050.271
Mon May 27 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3834,464242.3894
Mon May 27 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3796,354478.7237
Mon May 27 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3715,1254854.9823
Mon May 27 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3845,1069310.0606
Mon May 27 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3842,26867.9039
Mon May 27 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3842,0
Mon May 27 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3852,117517.1122
Mon May 27 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3873,335923.6804
Mon May 27 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3982,2126708.4053
Mon May 27 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3971,116799.4856
Mon May 27 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3928,679506.9985
Mon May 27 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.392,901974.8093
Mon May 27 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3931,386413.6214
Mon May 27 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3905,234387.1543
Tue May 28 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3905,0
Tue May 28 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.393,247370.538
Tue May 28 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.1983,0.3967,427973.5339
Tue May 28 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3966,105556.0539
Tue May 28 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3847,1065143.0996
Tue May 28 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3898,471910.6173
Tue May 28 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3908,596206.6024
Tue May 28 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3963,558389.5205
Tue May 28 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.397,59413.7213
Tue May 28 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3958,102037.5682
Tue May 28 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3958,534.2803
Tue May 28 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3904,696510.9621
Tue May 28 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3904,69898.5014
Tue May 28 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3914,126937.028
Tue May 28 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3932,316387.4398
Tue May 28 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3931,190073.0102
Tue May 28 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3932,9353.0021
Tue May 28 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3917,259996.4822
Tue May 28 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3919,156512.8303
Tue May 28 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3868,440016.754
Tue May 28 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3893,242946.3514
Tue May 28 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3887,54204.5209
Tue May 28 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3888,28113.9537
Tue May 28 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3847,379897.5993
Wed May 29 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3875,290872.4668
Wed May 29 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3875,7376.3301
Wed May 29 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0.197,0.3875,999.7933
Wed May 29 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3887,163335.2064
Wed May 29 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.39,75832.4434
Wed May 29 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3897,127988.1618
Wed May 29 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3893,343359.1695
Wed May 29 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.389,415016.3663
Wed May 29 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3915,848941.1029
Wed May 29 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3925,104048.0693
Wed May 29 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3923,582480.6469
Wed May 29 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3913,125744.4894
Wed May 29 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3984,645065.5619
Wed May 29 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3982,77521.9882
Wed May 29 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3983,15016.5336
Wed May 29 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.391,704220.4186
Wed May 29 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.391,14779.6904
Wed May 29 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3908,57443.0052
Wed May 29 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3901,69641.5818
Wed May 29 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3862,533071.8304
Wed May 29 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3835,249276.0407
Wed May 29 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3785,503319.3575
Wed May 29 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3782,23831.8061
Wed May 29 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3793,107120.8599
Thu May 30 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3792,16299.5094
Thu May 30 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0.1974,0.3793,33577.2306
