time,underlyingApy,impliedApy,volume
Sat May 25 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.3334,91.9698
Sat May 25 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.3319,6146.676
Sat May 25 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.3332,5606.3646
Sat May 25 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.331,9691.3257
Sat May 25 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.3335,10893.8965
Sat May 25 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.3402,28685.6416
Sat May 25 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.3373,14551.4088
Sat May 25 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.3362,4465.0939
Sat May 25 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.3386,11972.3627
Sat May 25 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.3398,4875.1107
Sat May 25 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.3147,231725.3245
Sun May 26 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.3196,20703.7321
Sun May 26 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.3192,1552.316
Sun May 26 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.3192,0
Sun May 26 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.3197,2251.6307
Sun May 26 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.3199,818.2182
Sun May 26 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.331,47370.181
Sun May 26 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.3392,34655.6519
Sun May 26 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.3354,31105.2081
Sun May 26 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.3354,0
Sun May 26 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.336,2274.715
Sun May 26 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.3362,1090.2457
Sun May 26 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.3362,0
Sun May 26 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.3376,5904.1358
Sun May 26 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.3376,0
Sun May 26 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.3376,0
Sun May 26 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.3443,58967.5954
Sun May 26 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.3443,0
Sun May 26 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.3469,11138.1927
Sun May 26 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.3469,0
Sun May 26 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.3469,0
Sun May 26 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.3437,13585.6541
Sun May 26 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.3437,0
Sun May 26 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.3471,17542.691
Sun May 26 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.3471,0
Mon May 27 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.3471,0
Mon May 27 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.3475,1910.513
Mon May 27 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.3496,8427.5761
Mon May 27 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.3496,0
Mon May 27 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.3486,20151.3901
Mon May 27 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.3486,0
Mon May 27 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.3486,0
Mon May 27 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.3486,143.5793
Mon May 27 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.3486,0
Mon May 27 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.3474,20859.5205
Mon May 27 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.3515,8137.0587
Mon May 27 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.358,78259.1482
Mon May 27 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.358,1049.1598
Mon May 27 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.3628,19053.1728
Mon May 27 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.3638,7565.7528
Mon May 27 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.3409,95439.1129
Mon May 27 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.3405,29682.8429
Mon May 27 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.3512,44176.6136
Mon May 27 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.3568,23224.7151
Mon May 27 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.3568,0
Mon May 27 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.3568,0
Mon May 27 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.3208,150048.0329
Mon May 27 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.3208,0
Mon May 27 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.3208,0
Tue May 28 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.3234,10598.0667
Tue May 28 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.3261,11382.9593
Tue May 28 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.3326,47218.6934
Tue May 28 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.3326,0
Tue May 28 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.3327,583.5939
Tue May 28 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.3339,4968.4848
Tue May 28 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.3285,45735.8492
Tue May 28 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.3294,6286.8229
Tue May 28 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.3294,0
Tue May 28 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.3294,0
Tue May 28 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.3294,0
Tue May 28 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.3294,0
Tue May 28 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.3304,16423.6493
Tue May 28 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.3304,0
Tue May 28 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.3304,0
Tue May 28 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.3304,0
Tue May 28 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.3283,8991.0884
Tue May 28 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.3283,0
Tue May 28 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.3283,0
Tue May 28 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.3425,59039.0425
Tue May 28 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.3406,12079.7778
Tue May 28 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.3428,9074.6253
Tue May 28 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.3511,34549.2732
Tue May 28 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.3511,0
Wed May 29 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.3487,10018.5789
Wed May 29 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.3127,150013.5595
Wed May 29 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.3127,574.7917
Wed May 29 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.3128,0
Wed May 29 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.3128,24970.2425
Wed May 29 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.3194,27781.3414
Wed May 29 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.3401,84122.5271
Wed May 29 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.3387,570570.6683
Wed May 29 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.3502,23965.1668
Wed May 29 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.3457,57272.3497
Wed May 29 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.3446,4246.4056
Wed May 29 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.3545,108690.1339
Wed May 29 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.3551,25107.9327
Wed May 29 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.3545,7436.5878
Wed May 29 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.3494,19972.9363
Wed May 29 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.3533,15370.6982
Wed May 29 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.353,32563.2549
Wed May 29 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.353,0
Wed May 29 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.353,0
Wed May 29 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.3606,29549.7944
Wed May 29 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.3703,44218.9917
Wed May 29 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.3662,19316.0396
Wed May 29 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.3667,1877.4198
Wed May 29 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.3667,136.8502
Thu May 30 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.3667,0
Thu May 30 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.3667,0
Thu May 30 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.3103,320545.4718
Thu May 30 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.3101,62841.9793
Thu May 30 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.3264,0
Thu May 30 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.3264,0
Thu May 30 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.3281,34451.0542
Thu May 30 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.3336,71298.3531
Thu May 30 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.3336,0
Thu May 30 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.3544,78295.2092
Thu May 30 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.3571,10308.799
Thu May 30 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.3538,20849.2985
Thu May 30 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.3525,58045.0205
Thu May 30 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.353,2056.6619
Thu May 30 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.353,0
Thu May 30 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.3591,22816.464
Thu May 30 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.3538,19976.9138
Thu May 30 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.3538,0
Thu May 30 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.3538,0
Thu May 30 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.3568,11474.6212
Thu May 30 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.3568,0
Thu May 30 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.3559,3445.7093
Thu May 30 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.3559,0
Thu May 30 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.3559,0
Fri May 31 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.3516,16106.4051
Fri May 31 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.3493,8927.6413
Fri May 31 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.3496,1138.1524
Fri May 31 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.3558,23409.0268
Fri May 31 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.3565,13732.6902
Fri May 31 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.3565,0
Fri May 31 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.3592,9912.7801
Fri May 31 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.3534,28142.1469
Fri May 31 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.3413,45743.8904
Fri May 31 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.3413,0
Fri May 31 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.3413,0
Fri May 31 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.339,9000.3476
Fri May 31 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.3432,30645.1233
Fri May 31 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.3418,31230.2054
Fri May 31 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.3518,61245.6555
Fri May 31 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.3451,25439.7828
Fri May 31 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.3419,49920.9225
Fri May 31 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.3419,0
Fri May 31 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.3419,0
Fri May 31 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.3397,79233.9991
Fri May 31 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.3527,49366.2132
Fri May 31 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.3527,191.2555
Fri May 31 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.353,891.5978
