time,underlyingApy,impliedApy,volume
Wed Jul 17 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Wed Jul 17 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Wed Jul 17 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Wed Jul 17 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Wed Jul 17 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Wed Jul 17 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Wed Jul 17 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Thu Jul 18 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Thu Jul 18 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Thu Jul 18 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Thu Jul 18 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.1777,0
Thu Jul 18 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.0875,43581.0334
Thu Jul 18 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.0986,13612.5585
Thu Jul 18 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.0887,207235.2706
Thu Jul 18 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.0849,15149.999
Thu Jul 18 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.0844,2327.2443
Thu Jul 18 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.0959,62161.4462
Thu Jul 18 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.0892,64788.8516
Thu Jul 18 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.0835,37023.2436
Thu Jul 18 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.0883,38407.0183
Thu Jul 18 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.0882,473.9613
Thu Jul 18 2024 14:00:00 GMT+0300 (Eastern European Summer Time),0,0.1224,461872.5247
Thu Jul 18 2024 15:00:00 GMT+0300 (Eastern European Summer Time),0,0.1176,63681.6957
Thu Jul 18 2024 16:00:00 GMT+0300 (Eastern European Summer Time),0,0.1176,547.5823
Thu Jul 18 2024 17:00:00 GMT+0300 (Eastern European Summer Time),0,0.1175,858.7868
Thu Jul 18 2024 18:00:00 GMT+0300 (Eastern European Summer Time),0,0.1162,15607.7283
Thu Jul 18 2024 19:00:00 GMT+0300 (Eastern European Summer Time),0,0.1161,338.2608
Thu Jul 18 2024 20:00:00 GMT+0300 (Eastern European Summer Time),0,0.1161,305.3475
Thu Jul 18 2024 21:00:00 GMT+0300 (Eastern European Summer Time),0,0.1161,0
Thu Jul 18 2024 22:00:00 GMT+0300 (Eastern European Summer Time),0,0.1039,154010.0111
Thu Jul 18 2024 23:00:00 GMT+0300 (Eastern European Summer Time),0,0.1039,0
Fri Jul 19 2024 00:00:00 GMT+0300 (Eastern European Summer Time),0,0.1039,9.3889
Fri Jul 19 2024 01:00:00 GMT+0300 (Eastern European Summer Time),0,0.1039,0
Fri Jul 19 2024 02:00:00 GMT+0300 (Eastern European Summer Time),0,0.1019,27704.1157
Fri Jul 19 2024 03:00:00 GMT+0300 (Eastern European Summer Time),0,0.1019,0
Fri Jul 19 2024 04:00:00 GMT+0300 (Eastern European Summer Time),0,0.1019,0
Fri Jul 19 2024 05:00:00 GMT+0300 (Eastern European Summer Time),0,0.1019,0
Fri Jul 19 2024 06:00:00 GMT+0300 (Eastern European Summer Time),0,0.1018,945.534
Fri Jul 19 2024 07:00:00 GMT+0300 (Eastern European Summer Time),0,0.0997,29697.2682
Fri Jul 19 2024 08:00:00 GMT+0300 (Eastern European Summer Time),0,0.0997,3780.8241
Fri Jul 19 2024 09:00:00 GMT+0300 (Eastern European Summer Time),0,0.0995,926.9536
Fri Jul 19 2024 10:00:00 GMT+0300 (Eastern European Summer Time),0,0.0993,2892.4275
Fri Jul 19 2024 11:00:00 GMT+0300 (Eastern European Summer Time),0,0.0992,285.5529
Fri Jul 19 2024 12:00:00 GMT+0300 (Eastern European Summer Time),0,0.0991,2531.6052
Fri Jul 19 2024 13:00:00 GMT+0300 (Eastern European Summer Time),0,0.0974,50484.1848
